code,name,tehsil,city
1001,SANT MIRA GIRLS  H.S. SCHOOL NIJATPURA,UJJAIN,UJJAIN
1002,GANDHI PUBLIC M.S.SCHOOL,UJJAIN,UJJAIN
1003,ALOK H.S.SCHOOL,UJJAIN,UJJAIN
1004,GOVT. P.S. INDRA NAGAR,UJJAIN,UJJAIN
1005,GOVT. M.S. VISHWA BANK COLONY,UJJAIN,UJJAIN
1006,GOVT. H.SCHOOL DHANCHA BHAWAN,UJJAIN,UJJAIN
1007,GOVT. P.S. SCHOOL VISHWA BANK COLONY,UJJAIN,UJJAIN
1008,ANNAPURNA MONTESSARI VISHWA BANK COLONY,UJJAIN,UJJAIN
1009,GOVT. P.S. SCHOOL KHILCHIPUR,UJJAIN,UJJAIN
1010,ACTIVE ENGLISH HIGH SCHOOL,UJJAIN,UJJAIN
1011,CITI MONTESSARI SCHOOL INDRANAGAR,UJJAIN,UJJAIN
1012,JAGRATI VIDYAPEETH URDUPURA,UJJAIN,UJJAIN
1013,YOUNG HERALD CONVENT SCHOOL,UJJAIN,UJJAIN
1014,DHARMISTHA CONVENT MOHAN NAGAR,UJJAIN,UJJAIN
1015,GOVT. GIRLS M. S. DOULATGANJ,UJJAIN,UJJAIN
1016,GAYATRI SHISHU MANDIR GHEE MANDI,UJJAIN,UJJAIN
1017,PARAG H.S. SCHOOL DOULATGANJ,UJJAIN,UJJAIN
1018,GOVT. GIRLS URDU H.S. MADAR GATE NALIYABHKHAL,UJJAIN,UJJAIN
1019,GOVT. GIRLS M.S. NALIYABAKHAL,UJJAIN,UJJAIN
1020,BAL SANSKAR SHALA GAYATRI SHAKTIPEETH,UJJAIN,UJJAIN
1021,LOKMANYA TILAK PANDARIBA,UJJAIN,UJJAIN
1022,KALIDAS MONTESSARI SCHOOL BAMBAKHANA,UJJAIN,UJJAIN
1023,BABA MEMORIAL CONVENT PANDARIBA,UJJAIN,UJJAIN
1024,GOVT. H.S. SCHOOL MAHARAJWADA KR.2,UJJAIN,UJJAIN
1025,GOVT GIRLS H.S. SCHOOL SARAFA,UJJAIN,UJJAIN
1026,DAYANAND SARASWATI SHISHU MANDIR,UJJAIN,UJJAIN
1027,DRONACHARY PUBLIC H.S. AGAR ROAD,UJJAIN,UJJAIN
1029,PRATIBHAWAN AWASIY VIDHYA LALPUR,UJJAIN,UJJAIN
1030,GOVT GIRLS M.S. INDRANAGAR,UJJAIN,UJJAIN
1031,KADAMBINI CHILDREN ACADEMY,UJJAIN,UJJAIN
1032,BHARTIY GYAN PEETH H.S. S. MAHANANDA NAGAR,UJJAIN,UJJAIN
1033,GOVT. UTKRASHT H.S. SCHOOL MADHAV NAGAR,UJJAIN,UJJAIN
1034,BHARTIY GYAN PEETH M. S. MAHANANDA NAGAR,UJJAIN,UJJAIN
1035,GUJRATI SAMAJ H.S. NAI SADAK,UJJAIN,UJJAIN
1036,GOVT. POLYTECHNIC,UJJAIN,UJJAIN
1037,SANSKAR PUBLIC SCHOOL NAGJHIRI,UJJAIN,UJJAIN
1038,GOVT. NAVIN H.S. KSHIRSAGAR,UJJAIN,UJJAIN
1039,INDITE PUBLIC H. S. SCHOOL,UJJAIN,UJJAIN
1040,SHIPRA CONVENT PUBLIC H.S.,UJJAIN,UJJAIN
1041,PUSHKAR PUBLIC H.S.S. RAJENDRA NAGAR,UJJAIN,UJJAIN
1042,DELHI PUBLIC SCHOOL,UJJAIN,UJJAIN
1043,BHARTIY GYAN PEETH MADHAV NAGAR,UJJAIN,UJJAIN
1044,MG CONVENT SHASTRINAGAR,UJJAIN,UJJAIN
1045,GOVT. GIRLS M.SCHOOL DASSERA MAIDAN,UJJAIN,UJJAIN
1046,BALAK AWASIY CHHATRAWAS,UJJAIN,UJJAIN
1047,PREMETRIK GIRLS CHHATRAWAS METRIC,UJJAIN,UJJAIN
1048,GOVT. GIRLS M.SCHOOL DASSERA MAIDAN KR. 2,UJJAIN,UJJAIN
1049,BAL SANSKAR SHALA,UJJAIN,UJJAIN
1050,KENDRIYA VIDHYALAYA,UJJAIN,UJJAIN
1051,LITTLE ROSE H.S. GOPAL PURA,UJJAIN,UJJAIN
1052,SHEETAL PUBLIC H.S. PANWASA,UJJAIN,UJJAIN
1053,GOVT. BOYS H.S.S. PANWASA,UJJAIN,UJJAIN
1054,GYAN SAGAR  ACADEMY DEWAS ROAD,UJJAIN,UJJAIN
1055,OXFORD JUNIOR COLLEGE,UJJAIN,UJJAIN
1056,SANT VIDHYA CONVENT SCHOOL SNEH NAGAR,UJJAIN,UJJAIN
1057,THE DIVINE H.S.S. SUBHASHNAGAR,UJJAIN,UJJAIN
1058,KALIDAS MONTESSARI H.S. RISHINAGAR,UJJAIN,UJJAIN
1059,RAMKRISHNA PUBLIC SCHOOL,UJJAIN,UJJAIN
1060,SAINT JOHNS CONVENT H.S. PREMNAGAR,UJJAIN,UJJAIN
1061,PRATHIBHA CONVENT SCHOOL TRIVENI CHOUHARA,UJJAIN,UJJAIN
1062,GOVT. H. S. S. PANTH PIPIEY,UJJAIN,UJJAIN
1063,GOVT. H.S. NINORA,UJJAIN,UJJAIN
1064,GOVT. M. S. RAMWASA,UJJAIN,UJJAIN
1065,GOVT. M. S. BODANI,UJJAIN,UJJAIN
1066,GOVT. M. S. MANGAROLA,UJJAIN,UJJAIN
1067,GOVT. M. S. NAYAKHEDI,UJJAIN,UJJAIN
1068,NEW MONTESARY PUBLIC SCHOOL M.S.DATANA,UJJAIN,UJJAIN
1069,SWAMI VIVEKANAD H.S.TAJPUR,UJJAIN,UJJAIN
1070,GOVT BOYS M.S. TAJPUR,UJJAIN,UJJAIN
1071,GOVT. GIRLS M.S. TAJPUR,UJJAIN,UJJAIN
1072,VIDHYA VIHAR M.S. SANKAR PUR,UJJAIN,UJJAIN
1073,UTKARSH GIRLS CHHATRAWAS,UJJAIN,UJJAIN
1074,NALANDA ACADEMY,UJJAIN,UJJAIN
1075,NAV PRABHAT PUBLIC SCHOOL,UJJAIN,UJJAIN
