File name;[EMPTY] Question001;[EMPTY] Question002;[EMPTY] Question003;[EMPTY] Question004;[EMPTY] Question005;[EMPTY] Question006;[EMPTY] Question007;[EMPTY] Question008;[EMPTY] Question009;[EMPTY] Question010;[EMPTY] Question011;[EMPTY] Question012;[EMPTY] Question013;[EMPTY] Question014;[EMPTY] Question015;[EMPTY] Question016;[EMPTY] Question017;[EMPTY] Question018;[EMPTY] Question019;[EMPTY] Question020;[EMPTY] Question021;[EMPTY] Question022;[EMPTY] Question023;[EMPTY] Question024;[EMPTY] Question025;[EMPTY] Question026;[EMPTY] Question027;[EMPTY] Question078;[EMPTY] Question079;[EMPTY] Question080;[EMPTY] Question081;[EMPTY] Question082;[EMPTY] Question083;[EMPTY] Question084;[EMPTY] Question085;[EMPTY] Question086;[EMPTY] Question087;[EMPTY] Question088;[EMPTY] Question089;[EMPTY] Question090;[EMPTY] Question091;[EMPTY] Question092;[EMPTY] Question093;[EMPTY] Question094;[EMPTY] Question095;[EMPTY] Question096;[EMPTY] Question097;[EMPTY] Question098;[EMPTY] Question099;[EMPTY] Question100;[EMPTY] Question101;[EMPTY] Question102;[EMPTY] Question113;[EMPTY] Question114;[EMPTY] Question115;[EMPTY] Question116;[EMPTY] Question117;[EMPTY] Question118;[EMPTY] Question119;[EMPTY] Question120;[EMPTY] Question121;[EMPTY] Question122;[EMPTY] Question123;[EMPTY] Question124;[EMPTY] Question125;[EMPTY] Question126;[EMPTY] Question127;[EMPTY] Question128;[EMPTY] Question129;[EMPTY] Question130;[EMPTY] Question131;[EMPTY] Question132;[EMPTY] Question133;[EMPTY] Question134;[EMPTY] Question135;[EMPTY] Question136;[EMPTY] Question137;[EMPTY] Question138;[EMPTY] Question139;[EMPTY] Question140;[EMPTY] Question141;[EMPTY] Question142;[EMPTY] Question143;[EMPTY] Question144;[EMPTY] Question145;[EMPTY] Question146;[EMPTY] Question147;[EMPTY] Question148;[EMPTY] Question149;[EMPTY] Question150;[EMPTY] Question151;[EMPTY] Question152;[EMPTY] Question153;[EMPTY] Question154;[EMPTY] Question155;[EMPTY] Question156;[EMPTY] Question157;[EMPTY] Question158;[EMPTY] Question159;[EMPTY] Question160;[EMPTY] Question161;[EMPTY] Question162;[EMPTY] Question163;[EMPTY] Question164;[EMPTY] Question165;[EMPTY] Question166;[EMPTY] Question167;[EMPTY] Question168;[EMPTY] Question169;[EMPTY] Question170;[EMPTY] Question171;[EMPTY] Question172;[EMPTY] Question173;[EMPTY] Question174;[EMPTY] Question175;[EMPTY] Question176;[EMPTY] Question177;[EMPTY] Question178;[EMPTY] Question179;[EMPTY] Question180;[EMPTY] Question181;[EMPTY] Question182;[EMPTY] Question193;[EMPTY] Question194;[EMPTY] Question195;[EMPTY] Question196;[EMPTY] Question197;[EMPTY] Question198;[EMPTY] Question199;[EMPTY] Question200;[EMPTY] Question201;[EMPTY] Question202;[EMPTY] Question203;[EMPTY] Question204;[EMPTY] Question205;[EMPTY] Question206;[EMPTY] Question207;[EMPTY] Question208;[EMPTY] Question209;[EMPTY] Question210;[EMPTY] Question211;[EMPTY] Question212;[EMPTY] Question213;[EMPTY] Question214;[EMPTY] Question215;[EMPTY] Question216;[EMPTY] Question217;[EMPTY] Question218;[EMPTY] Question219;[EMPTY] Question220;[EMPTY] Question221;[EMPTY] Question222
3385 010;F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;R;;N;;;N;;;;;;;;;;;;;;;;;;;;;;;;;;;;B;;;;B;;;;;A;B;;B;;;;;;;;;;;B;;;;;;;;;D;;C;;;D;;;;;D;;;;;;;;;;;C;;A;;;;;;;C;;;;;;C;;;;;;;;;;;;;;;;;;;;;
3385 011;;;;;N;;;;;;;;;;;;;;;;;;;;;;;;;U;;K;;;P;;I;;;;;;;;;;;;;;;;;;;B;;;;;C;;B;;;C;;;C;;;A;;;;;;;;;;;C;;;B;A;;C;;B;;;;D;;C;B;C;D;B;D;;;;;;;D;A;;;;;;;;A;;;A;;;;;;;;C;A;C;;D;;A;;;;;;;;C;;;B;;;;;B;
3385 012;F;;N;C;M;J;C;P;U;K;P;;;;;;;;;;;;;;;;;;C;I;;U;K;P;I;;;;;;;;;;;;;;;;;;;;;B;;;;;;;B;;;C;;;C;;;A;;;B;;;;;D;;;;;;B;A;;D;;B;;;;;;C;B;C;D;;D;;;D;;;;D;A;;B;;;;;;A;;;A;;;;;;;;C;A;C;A;D;;A;;;A;B;;;A;C;;;B;;;;;;
3385 013;E;;;;;T;;;;K;;C;;;;;;;;;;;;;;;;;K;C;;;;;I;;;;;;;;;;;;;;;;;;;;B;D;A;;A;C;B;B;A;;C;B;A;A;B;D;B;C;A;;D;C;B;A;A;B;C;B;D;;A;B;C;D;C;B;;D;;;A;B;C;D;C;C;;;;;B;D;C;C;B;C;A;;;;B;C;D;A;C;D;D;;D;;A;D;B;B;B;C;A;;A;;;;;;A;;;;;;B;C;;;;C;;
3406 045;E;;;;;;;B;S;;L;;;;;E;;;;B;;S;;;;B;;H;;;P;;;;;T;;;;;;U;;O;B;;;;S;;;;;C;C;;D;C;;C;;B;;C;B;B;D;C;C;D;B;B;;D;C;D;C;A;D;D;A;C;;A;B;B;C;A;C;;B;C;;D;C;B;C;B;;D;C;;;B;C;A;C;A;A;;;;;B;D;C;D;B;B;A;B;B;;B;D;C;B;C;;B;C;B;;C;B;B;C;B;C;B;D;;;;C;;;D;C;;;D
3406 046;;;U;Q;P;W;R;;;;;;;;;;;;;;;;;;;;;O;C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1013 033;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;C;D;;A;B;;;;C;;A;D;D;A;B;A;;;;;;D;;D;;;;;;;;;;;;;;;;;;;;;;;;;;;B;D;D;A;C;D;D;D;D;;D;A;A;D;;;B;;;;B;B;B;D;C;D;;;;;;;;;;;;;;;;;;;;;;;
1013 032;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;;;;;;;;D;B;;C;;;;;;;;;;;D;;;;;;;;;;;;;;;;;;;;;;;;;B;D;D;D;A;D;D;D;;;D;C;D;D;B;;;;;;;;B;D;;D;;;;;;;;D;;;;;;;;;;;;;;;
1013 035;;;;;;;;;;;;;I;B;O;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;D;B;D;D;A;D;A;B;B;;D;C;A;B;B;B;D;C;D;;B;D;C;C;B;D;A;A;;;;;;;;;;;;;;;;;;;;;;;B;D;B;A;D;C;C;D;B;;B;D;A;D;B;B;B;D;A;;B;A;B;A;B;D;C;A;;;;;;;;;;;;;;;;;;;;;
3406 042;E;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
